Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
09-Apr-25,3276,3276,3215.9,3246.1,3247.403566,131136,11578,425851514,91714,69.94,60.1,-29.9
08-Apr-25,3299,3348.9,3255.3,3293.55,3293.808871,263659,21906,868442353,133078,50.47,93.6,-5.45
07-Apr-25,3060.25,3290,3060.25,3276.6,3163.424302,274432,31158,868144858,134454,48.99,229.75,216.35
04-Apr-25,3366.95,3391.3,3295.6,3299.45,3323.910935,171571,22940,570286723,99279,57.86,95.7,-67.5
03-Apr-25,3485.4,3498,3396.1,3403.9,3429.738864,207922,25985,713118164,135458,65.15,101.9,-81.5
02-Apr-25,3550.35,3563.7,3530.05,3545,3549.310684,32290,3246,114607242,16375,50.71,33.65,-5.35
01-Apr-25,3588.95,3588.95,3524,3550.35,3547.632577,71234,8460,252712059,24931,35,64.95,-38.6
28-Mar-25,3648,3660,3596.05,3604.45,3613.504967,70765,8029,255709679,36040,50.93,63.95,-43.55
27-Mar-25,3624.65,3662.85,3610,3651.65,3645.326151,30955,3520,112841071,12150,39.25,52.85,27
26-Mar-25,3661,3679.9,3625,3635.5,3658.031938,29338,3951,107319341,9548,32.54,54.9,-25.5
25-Mar-25,3649.95,3708.9,3638.05,3657.7,3673.37065,140545,13910,516273878,46161,32.84,70.85,7.75
24-Mar-25,3585.05,3649.6,3566.65,3631.55,3611.817601,85061,9459,307224817,38502,45.26,82.95,46.5
21-Mar-25,3499.95,3615,3466.6,3579.4,3566.828618,68893,6889,245729524,29879,43.37,148.4,79.45
20-Mar-25,3508.05,3577.55,3508.05,3562.8,3561.226366,113648,10340,404726254,50481,44.42,69.5,54.75
19-Mar-25,3549,3549,3463.05,3497.15,3481.205344,157024,14776,546632788,93466,59.52,85.95,-51.85
18-Mar-25,3503,3556.45,3479,3552.65,3538.746532,78586,7054,278095935,43739,55.66,77.45,49.65
17-Mar-25,3508.5,3610.3,3478,3497.25,3508.967877,91119,7769,319733644,58431,64.13,132.3,-11.25
13-Mar-25,3506,3524.15,3484.5,3512.35,3501.318872,21598,2831,75621485,7969,36.9,39.65,6.35
12-Mar-25,3564.95,3565.3,3489.6,3503.6,3509.325735,37641,4126,132094530,14306,38.01,75.7,-61.35
11-Mar-25,3553.25,3589.55,3536.9,3574.9,3567.763117,48906,6277,174485023,13589,27.79,52.65,21.65
10-Mar-25,3610.2,3623.45,3582.1,3588.1,3602.473832,40546,6194,146065904,20250,49.94,41.35,-22.1
07-Mar-25,3624.95,3624.95,3575,3611.3,3600.962211,30644,3720,110347886,11253,36.72,49.95,-13.65
06-Mar-25,3568,3608.95,3536.15,3599.7,3568.352705,52086,6991,185861219,17565,33.72,72.8,31.7
05-Mar-25,3529.95,3598,3521.1,3549.35,3568.93733,50343,6537,179671012,19151,38.04,76.9,19.4
04-Mar-25,3483.95,3549.9,3463.8,3532.65,3515.291581,68643,9179,241300160,22497,32.77,86.1,48.7
03-Mar-25,3499.85,3523.95,3475,3496.55,3498.25706,90088,10802,315150982,37769,41.92,48.95,-3.3
28-Feb-25,3588.8,3599,3457.35,3483.9,3493.952176,95141,8550,332418104,54472,57.25,141.65,-104.9
27-Feb-25,3628.95,3637.95,3600,3612.35,3613.092897,58527,9398,211463488,39852,68.09,37.95,-16.6
25-Feb-25,3639.95,3657.95,3621.6,3631.1,3641.78189,209408,19180,762618262,135547,64.73,36.35,-8.85
24-Feb-25,3767.35,3767.35,3670.65,3674.9,3707.215679,276198,11397,1023925556,243631,88.21,96.7,-92.45
21-Feb-25,3781.2,3816.6,3775,3785.75,3792.52624,89843,7281,340731935,52058,57.94,41.6,4.55
20-Feb-25,3779,3789.5,3755,3777.95,3774.290663,45355,3495,171182953,19696,43.43,34.5,-1.05
19-Feb-25,3872,3873.2,3767.5,3781.35,3789.931198,163847,6080,620968857,127946,78.09,105.7,-90.65
18-Feb-25,3903.4,3924.6,3861,3869.45,3886.500933,55205,4949,214554284,21926,39.72,63.6,-33.95
17-Feb-25,3900,3934.55,3860,3903.4,3919.956715,126487,12892,495823565,107024,84.61,74.55,3.4
14-Feb-25,3925,3948,3900.6,3932.75,3917.061429,88802,9581,347842889,66874,75.31,47.4,7.75
13-Feb-25,3955,3977.95,3903.35,3909.1,3931.714371,38697,5625,152145551,15990,41.32,74.6,-45.9
12-Feb-25,3966.05,4020,3941.3,3950.2,3975.66905,70639,10458,280837286,30887,43.73,78.7,-15.85
11-Feb-25,4029.8,4040.85,3955.6,3964.4,3990.474983,73609,8587,293734873,15656,21.27,85.25,-65.4
10-Feb-25,4049.95,4051.95,4014.05,4035.5,4035.56924,91371,7721,368733997,68279,74.73,37.9,-14.45
07-Feb-25,4060.15,4091.9,4009.05,4029.35,4034.566338,22001,3051,88764494,9827,44.67,82.85,-30.8
06-Feb-25,4095.45,4135,4052.7,4082.7,4072.665471,40965,3766,166836741,27237,66.49,82.3,-12.75
05-Feb-25,4161,4161,4075.9,4090.75,4094.982051,32703,5354,133918198,13400,40.97,85.1,-70.25
04-Feb-25,4089.2,4120,4065,4113.7,4101.024337,75645,8796,310221986,18987,25.1,55,24.5
03-Feb-25,4030,4076,3999,4067.3,4045.876807,32307,4623,130710142,10859,33.61,77,37.3
